 Id ;Hashtag;Seed Tweets;Expanded Tweets;Hashtag Tweets;User Count;Organized Labels;Other Labels
1;recount2016;111906;12964980;150897;22440;;"POLITICAL	"
2;fbi;19298;6365840;43982;13846;ORGANIZED;"POLITICAL	"
3;imwithher;35362;4411703;75681;15792;ORGANIZED;"POLITICAL	HILLARY"
4;trump;65156;4280831;110116;15439;;"POLITICAL	"
5;maga;65643;4193718;171991;13773;ORGANIZED;"POLITICAL	TRUMP	"
6;makeamericagreatagain;22647;4128571;44835;10713;ORGANIZED;"POLITICAL	TRUMP	"
7;recount2016;22084;3952556;37168;7533;ORGANIZED;"POLITICAL	"
8;auditthevote;39306;3830752;95868;5184;ORGANIZED;"POLITICAL	"
9;crookedhillary;18999;3773531;34190;8159;ORGANIZED;"POLITICAL	TRUMP	"
10;electionday;131509;3569460;170662;28450;ORGANIZED;"POLITICAL	IRRELEVANT	"
11;auditthevote;17555;3143663;33882;4829;ORGANIZED;"POLITICAL	"
12;votetrump;40282;3058863;60934;10810;ORGANIZED;"POLITICAL	TRUMP	"
13;americafirst;11834;3051519;18107;5505;ORGANIZED;"POLITICAL	TRUMP	"
14;trumppence16;41147;2992059;68875;11205;ORGANIZED;"POLITICAL	TRUMP	"
15;election2016;124726;2903540;106065;20310;;"POLITICAL	IRRELEVANT	"
16;electionnight;109082;2814902;174451;20541;ORGANIZED;"POLITICAL	IRRELEVANT	"
17;jillstein;30187;2778030;17021;3858;;"POLITICAL	"
18;electionfinalthoughts;30746;2616966;47052;11122;;"POLITICAL	IRRELEVANT	"
19;news;32949;2425145;191856;6020;ORGANIC;"NON-POLITICAL IRRELEVANT	"
20;ivoted;24557;2405172;17067;9389;;"POLITICAL	IRRELEVANT	"
21;trump2016;28735;2388801;28031;7833;ORGANIZED;"POLITICAL	TRUMP	"
22;strongertogether;15723;2193595;16396;4752;ORGANIZED;"POLITICAL	HILLARY"
23;boycotthamilton;18552;2162450;29695;10111;ORGANIZED;"POLITICAL	TRUMP	"
24;imvotingbecause;18585;2086805;23085;6155;ORGANIZED;"POLITICAL	IRRELEVANT	"
25;voted;16597;2082066;13347;6126;ORGANIZED;"POLITICAL	IRRELEVANT	"
26;trumptrain;30760;2082011;19693;4385;ORGANIZED;"POLITICAL	TRUMP	"
27;maga;21117;1993129;165354;2644;ORGANIZED;"POLITICAL	TRUMP	"
28;specialcounsel;3571;1991919;5344;2249;;"POLITICAL	IRRELEVANT	"
29;trumpleaks;5232;1901858;15688;1928;;"POLITICAL	IRRELEVANT	"
30;trumprussia;6783;1895652;62613;1733;;"POLITICAL	IRRELEVANT	"
31;presidenttrump;6554;1893230;13696;4696;ORGANIZED;"POLITICAL	TRUMP	"
32;presidentelecttrump;6634;1878486;9985;4475;ORGANIZED;"POLITICAL	TRUMP	"
33;specialcounsel;3796;1859434;5501;2121;;"POLITICAL	IRRELEVANT	"
34;trumpleaks;5514;1821417;16573;1655;;"POLITICAL	IRRELEVANT	"
35;specialcounsel;3867;1779041;5213;2115;;"POLITICAL	IRRELEVANT	"
36;election;27464;1765159;10312;5661;ORGANIC;"POLITICAL	IRRELEVANT	"
37;specialcounsel;3956;1764422;5397;2020;;"POLITICAL	IRRELEVANT	"
38;specialcounsel;3312;1717614;5386;2207;;"POLITICAL	IRRELEVANT	"
39;draintheswamp;7726;1683453;37163;2464;ORGANIZED;"POLITICAL	TRUMP	"
40;auditthevote;19363;1667407;40198;1996;ORGANIZED;"POLITICAL	"
41;podestaemails;11912;1660477;15074;6923;ORGANIZED;"POLITICAL	TRUMP	"
42;clintonemails;4575;1639227;4948;3310;ORGANIZED;"POLITICAL	TRUMP	"
43;trumpleaks;5086;1626283;13252;1845;;"POLITICAL	IRRELEVANT	"
44;trumpprotest;6731;1626003;14804;5365;ORGANIZED;"POLITICAL	HILLARY"
45;uselections2016;13513;1610521;7975;4572;ORGANIC;"POLITICAL	IRRELEVANT	"
46;trumpleaks;4908;1582414;12860;1850;;"POLITICAL	IRRELEVANT	"
47;uselection;11704;1579051;8332;4533;ORGANIC;"POLITICAL	IRRELEVANT	"
48;trumprussiacollusion;3765;1572307;6441;1743;;"POLITICAL	IRRELEVANT	"
49;trumpleaks;5091;1571109;13842;1527;;"POLITICAL	IRRELEVANT	"
50;hesnotmypresident;5246;1533594;6654;4423;;"POLITICAL	TRUMP	HILLARY"
51;trumpwins;5749;1506071;6096;4536;;"POLITICAL	"
52;benghazi;4449;1500023;4752;3612;ORGANIZED;"POLITICAL	TRUMP	"
53;obamacarefail;4287;1447413;5005;3612;ORGANIZED;"POLITICAL	TRUMP	"
54;election2016;8816;1435366;16909;6209;;"POLITICAL	IRRELEVANT	"
55;podestaemails20;9110;1430915;10299;3913;ORGANIZED;"POLITICAL	TRUMP	"
56;trumprussiacollusion;3452;1395841;5796;1481;;"POLITICAL	IRRELEVANT	"
57;impeachtrumppence;3839;1343090;6172;1668;;"POLITICAL	IRRELEVANT	"
58;auditthevote;16428;1336292;39025;1642;ORGANIZED;"POLITICAL	"
59;podestaemails14;9157;1310738;8944;4515;ORGANIZED;"POLITICAL	TRUMP	"
60;auditthevote;17057;1268345;36293;1549;ORGANIZED;"POLITICAL	"
61;podestaemails15;5301;1254721;9169;3311;ORGANIZED;"POLITICAL	TRUMP	"
62;trumppence16;5904;1239806;45290;1995;ORGANIZED;"POLITICAL	TRUMP	"
63;trumpwon;16059;1196263;4091;2151;ORGANIZED;"POLITICAL	"
64;oscars;14992;1163633;91952;2727;ORGANIC;"NON-POLITICAL IRRELEVANT	"
65;oscars;14231;1160495;89550;2725;ORGANIC;"NON-POLITICAL IRRELEVANT	"
